Nombre Bagués;Tamaño;Código ID;Género;Dupe;Marca;Familia olfativa;Notas_salida;Notas_corazón;Notas_base
Amalfi;50ml;10282049;Masculino;Acqua Di Gio;Giorgio Armani;Cítrica;;;
Amsterdam;50ml;10281074;Femenino;Pure XS Fem;Paco Rabanne;Oriental;;;
Amsterdam Homme;50ml;10282046;Masculino;Pure XS;Paco Rabanne;Oriental;;;
Angers;50ml;10281079;Femenino;Ange ou Demon;Givenchy;Floral/ Oriental;;;
Arizona;50ml;10282038;Masculino;Sauvage;Christian Dior;Fougère;;;
Atenas;50ml;10281063;Femenino;Olympea;Paco Rabanne;Oriental;;;
Atenas Intense;50ml;10281069;Femenino;Olympea Intense;Paco Rabanne;Oriental;;;
Barcelona;50ml;10282072;Masculino;Allure Homme
Sport Eau Extreme;Chanel;Oriental;;;
Berlín;50ml;10281064;Femenino;L'Interdit;Givenchy;Oriental;;;
Brujas;50ml;10281071;Femenino;Halloween;Jesús del Pozo;Floral/ Frutal;;;
Bucarest;50ml;10282052;Masculino;Black XS;Paco Rabanne;Oriental;;;
Capri;50ml;10281080;Femenino;Acqua Di Gioa;Giorgio Armani;Floral;;;
Charlotte;50ml;10281065;Femenino;Good Girl;Carolina Herrera;Floral/ Oriental;;;
Chicago;50ml;10281082;Femenino;Carolina Herrera;Carolina Herrera;Floral;;;
Detroit;50ml;10282035;Masculino;Bad Boy;Carolina Herrera;Oriental;;;
Esparta;50ml;10282042;Masculino;Invictus;Paco Rabanne;Amaderada;;;
Esparta Victory;50ml;10282065;Masculino;Invictus Victory;Paco Rabanne;Amaderada;;;
Femme;50ml;10281097;Femenino;Fame;Paco Rabbane;Floral/ Frutal;;;
Ginebra;50ml;10281101;Femenino;Baccarat Rouge 540;Maison Francis Kurkdjian;Amaderada/ Ámbar/ Gourmand;;;
Hollywood;50ml;10281102;Femenino;Divine Rouge;Jean Paul Gaultier;Ámbar/ Floral;;;
Las Vegas;50ml;10282036;Masculino;One Million;Paco Rabanne;Amaderada;;;
Lif;50ml;10282100;Unisex;Ambré Nuit;Maison Francis Kurkdjian;Oriental;;;
Los Ángeles;50ml;10281068;Femenino;Lady Million;Paco Rabanne;Floral;;;
Manhattan;50ml;10281084;Femenino;212 VIP Femm;Carolina Herrera;Floral/ Oriental;;;
Manhattan Black Red;50ml;10282068;Masculino;212 VIP Black Red;Carolina Herrera;Amaderada;;;
Manhattan Masc;50ml;10282043;Masculino;212 VIP Homme;Carolina Herrera;Amaderada;;;
Manhattan Party;50ml;10281085;Femenino;212 VIP Party Fever;Carolina Herrera;Floral;;;
Milán;50ml;10281078;Femenino;Only One;Dolce & Gabanna;Oriental;;;
Mónaco Blue;50ml;10282050;Masculino;Polo Blue;Ralph Lauren;Cítrica;;;
Mónaco Red;50ml;10282037;Masculino;Polo Red;Ralph Lauren;Amaderada;;;
Mónaco Red Intense;50ml;10282053;Masculino;Polo Red Intense;Ralph Lauren;Amaderada;;;
Mumbai;50ml;10281092;Femenino;My Way;Giorgio Armani;Floral;;;
Mykonos;50ml;10281083;Femenino;J'adore;Dior;Floral;;;
New York Héroes Fem;50ml;10281096;Femenino;212 Heroes for Her;Carolina Herrera;Floral/ Frutal;;;
New York Homme;50ml;10282039;Masculino;212;Carolina Herrera;Fougère;;;
New York Men Héroes;50ml;10282060;Masculino;212 Heroes;Carolina Herrera;Fougère;;;
New York Sexy;50ml;10281075;Femenino;212 Sexy;Carolina Herrera;Oriental;;;
París;50ml;10281067;Femenino;La vida es Bella;Lancôme;Floral/ Oriental;;;
París Crystal;50ml;10281093;Femenino;La vida es Bella Soleil Crystal;Lancôme;Floral/ Frutal;;;
Praga Luna;50ml;10281086;Femenino;Nina Luna;Nina Ricci;Floral;;;
Queens;50ml;10281089;Femenino;Very Irresistible;Givenchy;Floral/ Oriental;;;
Reine;50ml;10281091;Femenino;Idôle;Lancôme;Floral;;;
Reine Homenaje;75ml;10271029;Femenino;Idôle;Lancôme;Floral;;;
Rhandom;50ml;10282099;Masculino;Phantom;Paco Rabanne;Amaderada;;;
Río;50ml;10282040;Unisex;CK One;Calvin Klein;Cítrica;;;
Santorini;50ml;10282054;Masculino;Le Beau;Jean Paul Gaultier;Amaderada;;;
Tenerife;50ml;10282055;Masculino;Fahrenheit;Christian Dior;Floral/ Oriental;;;
Tokio Flower;50ml;10281076;Femenino;Kenzo Flower;Kenzo;Floral;;;
Tokyo;50ml;10282048;Masculino;Kenzo Mas;Kenzo;Amaderada;;;
Venecia;50ml;10281077;Femenino;Amor Amor;Cacharel;Floral/ Oriental;;;
Muestras perf;-;(varios);Unisex;-;Bagués;-;;;
Loto Sagrado;150ml;11131024;Aromatizante;-;Bagués;Flor de Loto;;;
Facial Revitalizante;60ml;12176003;Crema;Piel mixta a gasa;Bagués;Aloe vera, pepino y té verde;;;
Etape día;50gr;15252007;Crema;Tratamiento facial;Bagués;Ácido Hialurónico;;;
Bioétape Facial;30ml;19253002;Sérum;Sérum facial;Bagués;Lumiglow;;;
Nude;0,2gr;14201005;Delineador;Delinedor de labios;Bagués;-;;;
Hydra Claro;30gr;14143006;Base;Base facial;Bagués;-;;;
Lip Balm Coco Milk;3,5gr;14305001;Labial;Labial Croma Lip Balm;Bagués;-;;;
Lip Balm Tutti Frutti;3,5gr;14305002;Labial;Labial Croma Lip Balm;Bagués;-;;;
